filepath,azimuth,elevation,mod,gain
./oct10_outdoor_gain_experiments/cw_1M_g15/rec_BeamUSRP_6GHz_20241010_144533_5175.npy,-20,-30,cw,15
./oct10_outdoor_gain_experiments/bpsk_1M_g15/rec_BeamUSRP_6GHz_20241010_164813_8837.npy,-50,70,bpsk,15
./oct10_outdoor_gain_experiments/qpsk_1M_g30/rec_BeamUSRP_6GHz_20241010_193918_5875.npy,-60,50,qpsk,30
./oct10_outdoor_gain_experiments/qpsk_1M_g15/rec_BeamUSRP_6GHz_20241010_200022_1892.npy,50,50,qpsk,15
./oct10_outdoor_gain_experiments/qam_1M_g15/rec_BeamUSRP_6GHz_20241010_172915_2275.npy,20,-10,qam,15
./oct10_outdoor_gain_experiments/qpsk_1M_g0/rec_BeamUSRP_6GHz_20241010_200755_1945.npy,0,50,qpsk,0
./oct10_outdoor_gain_experiments/bpsk_1M_g0/rec_BeamUSRP_6GHz_20241010_170232_5761.npy,-20,-70,bpsk,0
./oct10_outdoor_gain_experiments/sine_1k_1M_g0/rec_BeamUSRP_6GHz_20241010_163312_2481.npy,70,-10,sine,0
./oct10_outdoor_gain_experiments/bpsk_1M_g0/rec_BeamUSRP_6GHz_20241010_165757_6022.npy,-70,-60,bpsk,0
./oct10_outdoor_gain_experiments/pam4_1M_g15/rec_BeamUSRP_6GHz_20241010_184324_5769.npy,-10,-50,pam4,15
./oct10_outdoor_gain_experiments/cw_1M_g0/rec_BeamUSRP_6GHz_20241010_145417_9271.npy,-60,-10,cw,0
./oct10_outdoor_gain_experiments/pam4_1M_g30/rec_BeamUSRP_6GHz_20241010_181601_7362.npy,-60,-50,pam4,30
./oct10_outdoor_gain_experiments/cw_1M_g15/rec_BeamUSRP_6GHz_20241010_144813_7334.npy,20,60,cw,15
./oct10_outdoor_gain_experiments/qam64_1M_g0/rec_BeamUSRP_6GHz_20241010_193323_4416.npy,10,60,qam64,0
./oct10_outdoor_gain_experiments/qam64_1M_g0/rec_BeamUSRP_6GHz_20241010_193338_2546.npy,20,40,qam64,0
